FID,id,site_id,latitude,longitude,country_id,month_start,year_start,month_end,year_end,species,id_method1,id_method2,sample_method1,sample_method2,sample_method3,sample_method4,assi,citation
Anopheline_Data.fid-4b4ba6ae_1627243c985_7585,35346,1000008711,9.299,9.333,NGA,4,2001,4,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7586,35347,1000008711,9.299,9.333,NGA,5,2001,5,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7587,35348,1000008711,9.299,9.333,NGA,6,2001,6,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7588,35349,1000008711,9.299,9.333,NGA,7,2001,7,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7589,35350,1000008711,9.299,9.333,NGA,8,2001,8,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_758a,35351,1000008711,9.299,9.333,NGA,9,2001,9,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_758b,35352,1000008711,9.299,9.333,NGA,10,2001,10,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_758c,35353,1000008711,9.299,9.333,NGA,11,2001,11,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_758d,35354,1000008711,9.299,9.333,NGA,7,2000,7,2000,"Anopheles funestus Giles, 1900",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_758e,35391,1000008713,9.175,7.172,NGA,,1999,,1999,"Anopheles arabiensis Patton, 1905",morphology,not applicable,larval collection,,,,,"Matthews, S.D., Meehan, L.J., Onyabe, D.Y., Vineis, J., Nock, I., Ndams, I. and Conn, J.E. (2007).  <b>Evidence for late Pleistocene population expansion of the malarial mosquitoes, <i>Anopheles arabiensis</i> and <i>Anopheles gambiae</i> in Nigeria.</b> <i>Medical and Veterinary Entomology</i>, <b>21</b>(4):358-69"
